Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price,page_link
Toyota Corolla GLi 1.3 VVTi 2018,Toyota,punjab,2018,Petrol,Manual,White,Sedan,1300 cc,"160,177 km",3850000,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-lahore-9970180
Toyota Corolla Altis Grande CVT-i 1.8 2015,Toyota,punjab,2015,Petrol,Automatic,Super white,Sedan,1800 cc,"80,200 km",4700000,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-lahore-10023887
Suzuki Cultus EURO II 2015,Suzuki,punjab,2015,Petrol,Manual,White,Hatchback,1000 cc,"80,000 km",1625000,https://www.pakwheels.com/used-cars/suzuki-cultus-2015-for-sale-in-rawalpindi-10027271
Suzuki Wagon R VXL 2022,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000 cc,"43,000 km",3000000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-bahawalpur-9988321
Toyota C-HR S 2018,Toyota,punjab,2018,Hybrid,Automatic,Black,Crossover,1800 cc,"111,673 km",8500000,https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-multan-10029241
Toyota Vitz F 1.0 2012,Toyota,punjab,2012,Petrol,Automatic,Grey,Hatchback,1000 cc,"122,497 km",2750000,https://www.pakwheels.com/used-cars/toyota-vitz-2012-for-sale-in-lahore-9988504
Suzuki Alto TURBO RS 2015,Suzuki,punjab,2015,Petrol,Automatic,Black,Hatchback,660 cc,"65,000 km",2550000,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-bahawalpur-10031845
Suzuki Alto VXR 2022,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660 cc,"40,000 km",2490000,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-faisalabad-10027389
Toyota Fortuner 2.8 Sigma 4 2021,Toyota,punjab,2021,Diesel,Automatic,Black,SUV,2800 cc,"20,732 km",15900000,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-9855168
DFSK Glory 580 Pro 2021,DFSK,punjab,2021,Petrol,Automatic,Pearl White,Crossover,1500 cc,"130,138 km",5000000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-9842574
Toyota Raize Z 2020,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000 cc,"20,174 km",6000000,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-10015261
Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,punjab,2018,Petrol,Automatic,Black,Sedan,1800 cc,"156,000 km",5175000,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-faisalabad-9948079
Suzuki Alto L Upgrade 2021,Suzuki,punjab,2021,Petrol,Automatic,Pure White Pearl,Mini Vehicles,660 cc,"13,500 km",3400000,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-9760907
Nissan Sunny EX Saloon Automatic 1.3 2009,Nissan,punjab,2009,Petrol,Automatic,White,Sedan,1300 cc,"210,000 km",2050000,https://www.pakwheels.com/used-cars/nissan-sunny-2009-for-sale-in-rawalpindi-10031932
Toyota Corolla GLi 1.3 VVTi 2012,Toyota,punjab,2012,Petrol,Manual,Black,Sedan,1300 cc,"122,000 km",2640000,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-sialkot-10031925
Toyota Prius G 1.5 2008,Toyota,punjab,2008,Hybrid,Automatic,Super White,Sedan,1500 cc,"240,000 km",2800000,https://www.pakwheels.com/used-cars/toyota-prius-2008-for-sale-in-lahore-10031934
Honda City 1.2L CVT 2021,Honda,punjab,2021,Petrol,Automatic,White,Compact sedan,1200 cc,"32,500 km",4300000,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-lahore-10031931
Honda Vezel 2013,Honda,punjab,2013,Petrol,Automatic,Silver,N/A,1500 cc,"200,000 km",4700000,https://www.pakwheels.com/used-cars/honda-vezel-2013-for-sale-in-layyah-10031930
Toyota Raize Z 2020,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000 cc,"47,000 km",5950000,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-10013757
Honda Life 2011,Honda,punjab,2011,Petrol,Automatic,Black,N/A,660 cc,"90,000 km",2200000,https://www.pakwheels.com/used-cars/honda-life-2011-for-sale-in-lahore-10031928
Suzuki Mehran VXR Euro II 2017,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,796 cc,"80,000 km",1250000,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-gujranwala-10031926
Suzuki Alto VX 2022,Suzuki,punjab,2022,Petrol,Manual,Silky Silver,Hatchback,660 cc,"22,000 km",2400000,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-khanewal-10031924
Mazda Flair Crossover 2015,Mazda,punjab,2015,Petrol,Automatic,Black,N/A,660 cc,"95,000 km",2300000,https://www.pakwheels.com/used-cars/mazda-flair-crossover-2015-for-sale-in-gujranwala-10029135
KIA Sportage FWD 2022,KIA,punjab,2022,Petrol,Automatic,White,Crossover,2000 cc,"37,000 km",7250000,https://www.pakwheels.com/used-cars/kia-sportage-2022-for-sale-in-lahore-10031922
Toyota Corolla Cross Premium High Grade 2021,Toyota,punjab,2021,Petrol,Automatic,Platinum White Pearl,SUV,1798 cc,"2,500 km",10500000,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2021-for-sale-in-malakwal-10031920
Toyota Hilux Revo Rocco 2022,Toyota,punjab,2022,Diesel,Automatic,Attitude Black,Pick Up,2800 cc,"9,700 km",14125000,https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-lahore-10031917
Honda City i-DSI Vario 2008,Honda,punjab,2008,Petrol,Automatic,Metallic Grey,Sedan,1300 cc,"238,000 km",2270000,https://www.pakwheels.com/used-cars/honda-city-2008-for-sale-in-rawalpindi-10031914
MG HS 1.5 Turbo 2021,MG,punjab,2021,Petrol,Automatic,Black Pearl,Crossover,1490 cc,"85,000 km",6250000,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-10031912
Toyota Prius Alpha 2013,Toyota,punjab,2013,Hybrid,Automatic,White,N/A,1800 cc,"142,000 km",4650000,https://www.pakwheels.com/used-cars/toyota-prius-alpha-2013-for-sale-in-rawalpindi-9851767
Suzuki Mehran VX 2010,Suzuki,punjab,2010,Petrol,Manual,Snow White Pearl,Hatchback,800 cc,"99,000 km",955000,https://www.pakwheels.com/used-cars/suzuki-mehran-2010-for-sale-in-rawalpindi-10031910
Suzuki Mehran VXR Euro II 2017,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,796 cc,"60,000 km",1320000,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-rawalpindi-10031907
Daihatsu Cuore 1993,Daihatsu,punjab,1993,Petrol,Manual,Red,N/A,660 cc,"140,000 km",525000,https://www.pakwheels.com/used-cars/daihatsu-cuore-1993-for-sale-in-faisalabad-10031903
Suzuki Cultus VXL 2021,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000 cc,"63,000 km",2950000,https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-multan-10031901
Honda City 1.2L CVT 2023,Honda,punjab,2023,Petrol,Automatic,Black,Compact sedan,1200 cc,"12,500 km",4850000,https://www.pakwheels.com/used-cars/honda-city-2023-for-sale-in-lahore-10031900
Suzuki Cultus VXRi (CNG) 2009,Suzuki,punjab,2009,Petrol,Manual,Solid White,Hatchback,1000 cc,1 km,1250000,https://www.pakwheels.com/used-cars/suzuki-cultus-2009-for-sale-in-chakwal-10031896
Toyota Fortuner 2.8 Sigma 4 2019,Toyota,punjab,2019,Diesel,Automatic,Burgundy,SUV,2800 cc,"92,000 km",12900000,https://www.pakwheels.com/used-cars/toyota-fortuner-2019-for-sale-in-lahore-9820694
Honda N Wgn G Turbo  2023,Honda,punjab,2023,Petrol,Automatic,Navy,Hatchback,660 cc,"15,000 km",4150000,https://www.pakwheels.com/used-cars/honda-n-wgn-2023-for-sale-in-lahore-9833205
Toyota Sienta X 2018,Toyota,punjab,2018,Hybrid,Automatic,Quartz Brown Metallic,Van,1500 cc,"28,000 km",5550000,https://www.pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-lahore-9971290
Mercedes Benz S Class S350 2006,Mercedes Benz,punjab,2006,Petrol,Automatic,Navy,Sedan,3500 cc,"98,000 km",10500000,https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2006-for-sale-in-lahore-10009223
BAIC BJ40 Plus Honorable Edition 2022,BAIC,punjab,2022,Petrol,Automatic,Obsidian Black,SUV,2000 cc,"26,000 km",8550000,https://www.pakwheels.com/used-cars/baic-bj40-plus-2022-for-sale-in-lahore-10031758
Proton X70 Premium FWD 2022,Proton,punjab,2022,Petrol,Automatic,Jet Grey,SUV,1500 cc,"56,000 km",5900000,https://www.pakwheels.com/used-cars/proton-x70-2022-for-sale-in-faisalabad-10030364
Honda Civic Oriel Prosmatec UG 2013,Honda,punjab,2013,Petrol,Automatic,Black,Sedan,1800 cc,"125,000 km",3450000,https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-9972210
Toyota Prado TX L Package 2.7 2020,Toyota,punjab,2020,Petrol,Automatic,White Pearl Crystal Shine,SUV,2700 cc,"32,000 km",29000000,https://www.pakwheels.com/used-cars/toyota-prado-2020-for-sale-in-gujranwala-9935702
Toyota Hilux Revo V Automatic 2.8 2022,Toyota,punjab,2022,Diesel,Automatic,Super White,Double Cabin,2800 cc,"23,000 km",13400000,https://www.pakwheels.com/used-cars/toyota-hilux-2022-for-sale-in-lahore-10031748
KIA Sportage FWD 2022,KIA,punjab,2022,Petrol,Automatic,White,Crossover,2000 cc,"22,000 km",7350000,https://www.pakwheels.com/used-cars/kia-sportage-2022-for-sale-in-lahore-10031738
Honda City 1.3 i-VTEC 2018,Honda,punjab,2018,Petrol,Manual,Black,Sedan,1300 cc,"90,000 km",3450000,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-lahore-9985928
Toyota Fortuner 2.8 Sigma 4 2021,Toyota,punjab,2021,Diesel,Automatic,Attitude Black,SUV,2800 cc,"49,000 km",15700000,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-10031729
Suzuki Cultus VXL 2021,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000 cc,"63,000 km",2950000,https://www.pakwheels.com/used-cars/suzuki-cultus-2021-for-sale-in-multan-10031901
Honda City 1.2L CVT 2023,Honda,punjab,2023,Petrol,Automatic,Black,Compact sedan,1200 cc,"12,500 km",4850000,https://www.pakwheels.com/used-cars/honda-city-2023-for-sale-in-lahore-10031900
Suzuki Cultus VXRi (CNG) 2009,Suzuki,punjab,2009,Petrol,Manual,Solid White,Hatchback,1000 cc,1 km,1250000,https://www.pakwheels.com/used-cars/suzuki-cultus-2009-for-sale-in-chakwal-10031896
Toyota Corolla GLi 1.3 2008,Toyota,punjab,2008,Petrol,Manual,White,Sedan,1300 cc,220 km,2450000,https://www.pakwheels.com/used-cars/toyota-corolla-2008-for-sale-in-lahore-10031895
Suzuki Mehran VXR Euro II 2018,Suzuki,punjab,2018,Petrol,Manual,Graphite Grey,Hatchback,796 cc,"45,000 km",1310000,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-okara-10031890
Suzuki Mehran VX 1992,Suzuki,punjab,1992,Petrol,Manual,Snow White Pearl,Hatchback,800 cc,"65,064 km",350000,https://www.pakwheels.com/used-cars/suzuki-mehran-1992-for-sale-in-multan-10031886
Suzuki Cultus EURO II 2015,Suzuki,punjab,2015,Petrol,Manual,White,Hatchback,1000 cc,"80,000 km",1625000,https://www.pakwheels.com/used-cars/suzuki-cultus-2015-for-sale-in-rawalpindi-10027271
Suzuki Wagon R VXL 2022,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000 cc,"43,000 km",3000000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-bahawalpur-9988321
Suzuki Mehran VXR Euro II 2016,Suzuki,punjab,2016,Petrol,Manual,Silky Silver,Hatchback,796 cc,"75,000 km",105000,https://www.pakwheels.com/used-cars/suzuki-mehran-2016-for-sale-in-lahore-10031875
Suzuki Hustler G Turbo 2019,Suzuki,punjab,2019,Petrol,Automatic,Maroon Metallic,Hatchback,660 cc,"70,000 km",3500000,https://www.pakwheels.com/used-cars/suzuki-hustler-2019-for-sale-in-rawalpindi-10031862
Toyota Corolla Axio 2007,Toyota,punjab,2007,Petrol,Automatic,White,N/A,1500 cc,"140,000 km",4800000,https://www.pakwheels.com/used-cars/toyota-corolla-axio-2007-for-sale-in-mandi-bahauddin-10031877
KIA Picanto 1.0 AT 2021,KIA,punjab,2021,Petrol,Automatic,Black,Hatchback,1000 cc,"21,000 km",3170000,https://www.pakwheels.com/used-cars/kia-picanto-2021-for-sale-in-lahore-10031874
Honda City 1.3 i-VTEC 2018,Honda,punjab,2018,Petrol,Manual,Taffeta White,Sedan,1300 cc,"84,000 km",3650000,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-jhelum-10031873
Mercedes Benz C Class C200 2007,Mercedes Benz,punjab,2007,Petrol,Automatic,Dolomite White Metallic,Sedan,1800 cc,"90,000 km",5700000,https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2007-for-sale-in-lahore-10029359
Toyota C-HR S 2018,Toyota,punjab,2018,Hybrid,Automatic,Black,Crossover,1800 cc,"111,673 km",8500000,https://www.pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-multan-10029241
Suzuki Cultus EURO II 2013,Suzuki,punjab,2013,Petrol,Manual,Solid White,Hatchback,1000 cc,"45,000 km",1340000,https://www.pakwheels.com/used-cars/suzuki-cultus-2013-for-sale-in-bahawalpur-10031870
Toyota Vitz F 1.0 2012,Toyota,punjab,2012,Petrol,Automatic,Grey,Hatchback,1000 cc,"122,497 km",2750000,https://www.pakwheels.com/used-cars/toyota-vitz-2012-for-sale-in-lahore-9988504
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,Honda,punjab,2011,Petrol,Automatic,White,Sedan,1800 cc,"147,000 km",2650000,https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-10031866
Suzuki Wagon R VXL 2018,Suzuki,punjab,2018,Petrol,Manual,Graphite Grey,Hatchback,1000 cc,"70,000 km",2400000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-lahore-10031860
Suzuki Cultus EURO II 2014,Suzuki,punjab,2014,Petrol,Manual,Solid White,Hatchback,1000 cc,"68,000 km",1495000,https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-lahore-10031859
Daihatsu Charade CX 1988,Daihatsu,punjab,2014,Petrol,Manual,Silver,Hatchback,1000 cc,10 km,2550000,https://www.pakwheels.com/used-cars/daihatsu-charade-1988-for-sale-in-lahore-10031857
Suzuki Alto TURBO RS 2015,Suzuki,punjab,2015,Petrol,Automatic,Black,Hatchback,660 cc,"65,000 km",2550000,https://www.pakwheels.com/used-cars/suzuki-alto-2015-for-sale-in-bahawalpur-10031845
Suzuki Mehran VXR 2003,Suzuki,punjab,2003,Petrol,Manual,Silver Metallic,Hatchback,800 cc,"90,000 km",500000,https://www.pakwheels.com/used-cars/suzuki-mehran-2003-for-sale-in-lahore-10031849
Suzuki Alto VXR 2022,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660 cc,"40,000 km",2490000,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-faisalabad-10027389
Toyota Corolla DX 1990,Toyota,punjab,1990,Petrol,Manual,Grey,Sedan,1300 cc,"263,796 km",1050000,https://www.pakwheels.com/used-cars/toyota-corolla-1990-for-sale-in-chakwal-10031839
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2024,Toyota,punjab,2024,Petrol,Automatic,Super White,Sedan,1800 cc,"22,000 km",7600000,https://www.pakwheels.com/used-cars/toyota-corolla-2024-for-sale-in-lahore-10031717
Honda Civic RS 2025,Honda,punjab,2025,Petrol,Automatic,Taffeta White,Sedan,1500 cc,10 km,10000000,https://www.pakwheels.com/used-cars/honda-civic-2025-for-sale-in-lahore-10031715
Daihatsu Boon Style 2023,Daihatsu,punjab,2023,Petrol,Automatic,White,Hatchback,996 cc,"2,955 km",4600000,https://www.pakwheels.com/used-cars/daihatsu-boon-2023-for-sale-in-lahore-9904641
Honda City i-DSI 2008,Honda,punjab,2008,Petrol,Manual,Metallic Grey,Sedan,1300 cc,"125,936 km",2200000,https://www.pakwheels.com/used-cars/honda-city-2008-for-sale-in-lahore-9845426
Haval H6 HEV 2025,Haval,punjab,2025,Hybrid,Automatic,Black,Compact SUV,1500 cc,800 km,12400000,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-lahore-10031654
Suzuki Wagon R FX 2014,Suzuki,punjab,2014,Petrol,Automatic,White,Hatchback,660 cc,"76,000 km",2450000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2014-for-sale-in-rawalpindi-10028281
Daihatsu Mira B SA III 2021,Daihatsu,punjab,2021,Petrol,Automatic,Silver,Hatchback,660 cc,"89,000 km",3199000,https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-lahore-10028356
Suzuki Spacia X 2021,Suzuki,punjab,2021,Hybrid,Automatic,White,Station Wagon,660 cc,"12,000 km",3075000,https://www.pakwheels.com/used-cars/suzuki-spacia-2021-for-sale-in-lahore-9847852
Honda City 1.3 i-VTEC 2015,Honda,punjab,2015,Petrol,Manual,Black,Sedan,1300 cc,"103,000 km",3195000,https://www.pakwheels.com/used-cars/honda-city-2015-for-sale-in-lahore-9995854
Toyota Aqua G 2018,Toyota,punjab,2018,Hybrid,Automatic,Silver,Hatchback,1500 cc,"94,150 km",5800000,https://www.pakwheels.com/used-cars/toyota-aqua-2018-for-sale-in-lahore-10015404
Suzuki Alto VXR 2024,Suzuki,punjab,2024,Petrol,Manual,Solid White,Hatchback,660 cc,"31,000 km",2755000,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-lahore-10029227
Toyota Prius G Touring Selection 1.8 2011,Toyota,punjab,2011,Hybrid,Automatic,Aqua Blue Metallic,Sedan,1800 cc,"196,553 km",3950000,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-lahore-10010992
Suzuki Mehran VXR 2003,Suzuki,punjab,2003,Petrol,Manual,Silver Metallic,Hatchback,800 cc,"90,000 km",500000,https://www.pakwheels.com/used-cars/suzuki-mehran-2003-for-sale-in-lahore-10031849
Suzuki Alto VXR 2022,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660 cc,"40,000 km",2490000,https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-faisalabad-10027389
Toyota Corolla DX 1990,Toyota,punjab,1990,Petrol,Manual,Grey,Sedan,1300 cc,"263,796 km",1050000,https://www.pakwheels.com/used-cars/toyota-corolla-1990-for-sale-in-chakwal-10031839
Toyota Corolla GLi 1.3 VVTi 2009,Toyota,punjab,2009,Petrol,Manual,Black,Sedan,1300 cc,"110,000 km",1950000,https://www.pakwheels.com/used-cars/toyota-corolla-2009-for-sale-in-pak-pattan-sharif-10030865
Suzuki Every Join 2010,Suzuki,punjab,2010,Petrol,Automatic,Silky Silver Metallic,Micro Van,660 cc,"200,000 km",1340000,https://www.pakwheels.com/used-cars/suzuki-every-2010-for-sale-in-rawalpindi-10031838
Toyota Yaris Sedan ATIV X CVT 1.5 2022,Toyota,punjab,2022,Petrol,Automatic,Super White,Sedan,1500 cc,"35,000 km",4790000,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2022-for-sale-in-rawalpindi-10031836
Toyota Fortuner 2.8 Sigma 4 2021,Toyota,punjab,2021,Diesel,Automatic,Black,SUV,2800 cc,"20,732 km",15900000,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-lahore-9855168
DFSK Glory 580 Pro 2021,DFSK,punjab,2021,Petrol,Automatic,Pearl White,Crossover,1500 cc,"130,138 km",5000000,https://www.pakwheels.com/used-cars/dfsk-glory-580-2021-for-sale-in-lahore-9842574
Suzuki Wagon R 2019,Suzuki,punjab,2019,Petrol,Manual,White,N/A,1000 cc,"96,000 km",2225000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-lahore-10008628
Suzuki Wagon R VXL 2019,Suzuki,punjab,2019,Petrol,Manual,Silky Silver,Hatchback,1000 cc,"76,000 km",2550000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2019-for-sale-in-faisalabad-10031826
Suzuki Swift 2019,Suzuki,punjab,2019,Petrol,Automatic,White,N/A,1400 cc,"90,000 km",3125000,https://www.pakwheels.com/used-cars/suzuki-swift-2019-for-sale-in-sara-e-alamgir-10031800
Mazda Scrum Van 2013,Mazda,punjab,2013,Petrol,Manual,White,N/A,660 cc,"280,000 km",1850000,https://www.pakwheels.com/used-cars/mazda-scrum-van-2013-for-sale-in-gujranwala-10014923
Suzuki Wagon R VXR 2020,Suzuki,punjab,2020,Petrol,Manual,Silky Silver,Hatchback,1000 cc,"81,000 km",2600000,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-rawalpindi-10031818
Toyota Raize Z 2020,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000 cc,"20,174 km",6000000,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-10015261
